"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"F1";42418;40826;40246;40176;38507;38438;90,6
"H3";46682;44982;44210;44279;41375;41217;88,3
"F2";33714;32743;32178;32094;30310;30229;89,7
"F3";44931;42696;42003;42058;39871;39265;87,4
"C2";38890;37425;36922;36864;35046;34857;89,6
"H1";43326;41829;41044;40861;37598;36932;85,2
"H2";22976;22187;21840;21926;21240;21181;92,2
"P1";26375;25545;24897;25088;23843;23328;88,4
"P3";38524;37130;36162;36229;33781;33437;86,8
"C1";31628;30328;29780;29770;28232;28091;88,8
"C4";34993;33783;33088;32933;30284;29551;84,4
